#;Tracker;Statut;Priorit�;Sujet;Assign� �;Mis-�-jour;Cat�gorie;Version cible;Temps estim�
7381;Feature;New;Normal;call import test/process coverage;;07/10/2013 11:44;;;18
6805;Feature;New;Normal;call statistics maintenance;;08/04/2014 20:47;;;26
6804;Task;New;Normal;investigate why abandoned call calculation is so incredibly wrong for non-hosted clients.;Michael Richardson;11/07/2013 15:28;;;3
6803;Task;Active;Normal;using pbx_type, defer calculation and presentation of abandoned call processing;Michael Richardson;19/07/2013 18:08;;;2
6731;Task;Feedback;Normal;speed problem on production server;Michael Richardson;12/07/2013 12:40;;2013w-Release - 1.0a;0
6501;Task;Active;Normal;make callstats processing faster;;29/07/2013 11:27;;;6
6500;Task;Feedback;Normal;redo cdr loading process with additional caches;;13/08/2013 09:36;;;4
6423;Task;New;Normal;fix unknown call type: Barge-in;;07/10/2013 11:42;;;4
6415;Task;New;Normal;be able to mark a customer as expired (create no more stats for it);;30/04/2013 20:12;;2013w-Release - 1.0a;3
6400;Task;New;Normal;cdr load fails with illegal quoting;;07/10/2013 11:42;;;3
6397;Task;New;Normal;arel error loading CDRs;;07/10/2013 11:42;;;5
6395;Task;New;Normal;some field is too long:;;07/10/2013 11:43;;;3
6394;Task;New;Normal;"fix unknown calltype: ""Long Duration""";;07/10/2013 11:42;;;3
5817;Feature;Feedback;Normal;Future release features/tasks/bugs;;10/09/2013 09:02;;;11,5
5586;Task;Feedback;Normal;Sort order is not correct in some cases.;�tienne Blain;13/12/2012 21:51;;iteration-2012w52;0
5524;Task;Active;Normal;meetings and communications;;16/11/2012 11:50;;iteration-2012w46;4
5311;Feature;New;High;Correlation of call legs with cdr in different scenerios;;01/02/2013 10:01;;iteration-2012w52;11,25
5294;Task;New;Normal;create API on beaumont to search for client breadcrumbs;Michael Richardson;05/10/2012 12:18;;;5
5293;Task;Active;Normal;look at adding single button to RT;Michael Richardson;05/10/2012 12:18;;;3
5226;Task;New;Normal;experiment with upgraded to rails 3.2;Michael Richardson;18/09/2012 09:38;;;2
5218;Task;New;Normal;make filters convert to/from local time.;Michael Richardson;14/09/2012 15:01;;2013w-Release - 1.0a;3
5216;Feature;New;Normal;beaumont phone.csv replacement;;07/01/2013 15:33;;;6
5173;Task;New;Normal;Have time stored/displayed in client's time zone;;16/01/2014 13:22;;2013w-Release - 1.0a;3
5060;Task;Assigned;Normal;Admin interface should handle duplicate image files;;16/01/2014 13:23;;;2
5030;Task;New;Normal;Cdrload: Called number for call object should be based on the last leg of the multileg call;;10/12/2013 10:12;;;2
4711;Task;New;Normal;make accounts for admins when importing phone csv;Michael Richardson;14/09/2012 14:56;;;3
4655;Task;Active;Normal;make cdr/btn/sites list more visible on client page;Michael Richardson;04/06/2012 11:00;;;4
4654;Feature;New;Normal;make client-detailed page for admin use;;10/09/2013 09:03;;;6
3743;Task;New;Normal;Peak call graph tasks;;30/01/2013 14:50;;;8
3604;Task;New;Normal;Provide an indication for what time format to enter;;16/01/2014 13:23;;;1,5
3575;Task;New;Low;Finish implementing admin control for uploading client's logo;;30/01/2013 14:40;;;0
1868;Task;New;Normal;generate email to SFoisy of daily peak values.;;11/07/2013 15:28;;;1
1657;Task;New;Normal;"channels page, javascript bug; total forms does not reset when page is refreshed";;02/02/2011 19:28;;IGA interface;5
1496;Task;Active;Normal;Message page:  request, approval, production.;Brenda Butler;15/02/2011 21:18;;IGA interface;5
1494;Task;Active;Normal;Make privateradio app for clientportal.;Brenda Butler;26/01/2011 20:45;;IGA interface;5
